product_title,product_price,product_star_rating,product_num_ratings,ranks,country
"Norton 360 Premium 2025, Antivirus software for 10 Devices with Auto Renewal - Includes VPN, PC Cloud Backup & Dark Web Monit",$29.99,4.2,6625,25,US
"Microsoft Office Home & Business 2021 | Word, Excel, PowerPoint, Outlook | One-time purchase for 1 PC or Mac | Instant Downlo",$229.99,4.1,924,26,US
"[Old Version] TurboTax Home & Business 2023, Federal & State Tax Return [PC/Mac Download]",$119.99,4.4,4699,27,US
Bitdefender Total Security - 5 Devices | 1 year Subscription | PC/Mac | Activation Code by email,$44.99,4.3,2447,28,US
Quicken Classic Deluxe for New Subscribers| 1 Year [PC/Mac Online Code],$41.92,3.7,294,29,US
"Acrobat Pro | 1-Month Subscription | PDF Software |Convert, Edit, E-Sign, Protect |Activation Required [PC/Mac Online Code]",$29.99,3.6,1444,30,US
"Norton Utilities Ultimate – cleans and speeds up your PC, Windows PCs only [Download]",$19.99,4.1,729,31,US
Laplink PCmover Ultimate 11 - Easily Transfer Files to New Computer - Efficient Migration of Applications from Old PC to a Ne,$39.95,4.1,5467,32,US
Mullvad VPN | 12 Months for 5 Devices | Protect Your Privacy with Easy-To-Use Security VPN Service,$57.00,4.7,968,33,US
Webroot Internet Security Plus | Antivirus Software 2025 | 3 Device | 1 Year Download for PC/Mac/Chromebook/Android/IOS + Pas,$21.99,4.2,1186,34,US
"McAfee Total Protection 5-Device 2025 | Security Software Includes Antivirus, Secure VPN, Password Manager, Identity Monitori",$29.99,4.2,1451,35,US
"Norton 360 for Amazon 2025, Antivirus software for up to 5 Devices with Auto Renewal [Subscription]",$34.99,4.1,593,36,US
McAfee AntiVirus 2025 | Real-Time PC Protection from New and Evolving Threats | Download,$12.99,4.1,864,37,US
"[Old Version] TurboTax Deluxe 2022 Tax Software, Federal and State Tax Return, [Amazon Exclusive] [PC/MAC Download]",$69.99,4.4,10951,38,US
Wyze Security Plan - Cam Unlimited | Unlimited Cameras | 1 Month Subscription. Full AI features | Facial Recognition for Frie,$9.99,3.8,239,39,US
"Microsoft 365 Family | 12-Month Subscription, Up to 6 People | Word, Excel, PowerPoint | 1TB OneDrive Cloud Storage | PC/MAC ",$129.99,4.3,2802,40,US
"Microsoft Office Home & Business 2024 | Classic Desktop Apps: Word, Excel, PowerPoint, Outlook and OneNote | One-Time Purchas",$249.99,3,3,41,US
"Norton 360 Platinum 2025, Antivirus software for 20 Devices with Auto-Renewal – 3 Months FREE - Includes Advanced AI Scam Pro",$49.99,4.2,2129,42,US
"Norton 360 Deluxe 2025, Antivirus software for 3 Devices with Auto Renewal - Includes VPN, PC Cloud Backup & Dark Web Monitor",$19.99,4.1,2874,43,US
"Adobe Acrobat Pro | PDF Software | Convert, Edit, E-Sign, Protect | PC/Mac Online Code | Activation Required",$239.88,4.1,1129,44,US
"[Old Version] TurboTax Premier 2023, Federal & State Tax Return [PC/Mac Download]",$104.99,4.3,6299,45,US
"Laplink PCmover Ultimate 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer S",$62.95,4.1,5467,46,US
"Malwarebytes Premium | Amazon Exclusive | 18 Months, 2 Devices | Windows, Mac OS, Android, Apple iOS, Chrome [Online Code]",$29.99,4.5,1139,47,US
"McAfee+ Premium Individual Unlimited Devices 2025 | Cybersecurity Software Includes Antivirus, Secure VPN, Password Manager, ",$34.99,4.1,370,48,US
"TurboTax Premier 2024 Tax Software, Federal & State [PC/MAC Download] & McAfee Total Protection 3 Devices",$92.98,5,2,49,US
"McAfee Total Protection 1-Device 2025 | Security Software Includes Antivirus, Secure VPN, Password Manager, Identity Monitori",$17.99,4.2,350,50,US
"Laplink PCmover Professional | Instant Download | Single Use License | Moves Applications, Files, and Settings to Your New PC",$29.95,3.8,1151,51,US
(Old Version) H&R Block Tax Software Deluxe + State 2023 with Refund Bonus Offer (Amazon Exclusive) (PC/MAC Download),$49.99,4.2,4485,52,US
Webroot Antivirus Software 2025 | 3 Device | 1 Year Download for PC/Mac,$19.98,4.2,2984,53,US
"McAfee Total Protection 3-Device 2025 |Security Software Includes Antivirus, Secure VPN, Password Manager, Identity Monitorin",$19.99,4,461,54,US
"Wyze Security Plan - Cam Plus | 1 Camera | 1 Month Subscription. AI features | Smart Detection for Person, Pet, Package, Vehi",$2.99,3.8,239,55,US
Webroot Internet Security Complete | Antivirus Software 2025 | 10 Device | 1 Year Download for PC/Mac/Chromebook/Android/IOS ,$34.99,4.2,258,56,US
"McAfee Total Protection 5-Device 2025 Ready | Security Software Includes Antivirus, Secure VPN, Password Manager, Identity Mo",$29.99,4.2,1451,57,US
Mullvad VPN | 5 Devices for 6 Months | Protect Your Privacy with Easy-To-Use Security VPN Service,$29.00,4.7,968,58,US
"Ralix Reinstall DVD For Windows 10 All Versions 32/64 bit. Recover, Restore, Repair Boot Disc, and Install to Factory Default",$11.99,3.6,3081,59,US
"McAfee Total Protection 10 Devices 2025 | Security Software Includes Antivirus, Secure VPN, Password Manager, Identity Monito",$34.99,4.1,2822,60,US
"Norton 360 Deluxe 2025, Antivirus software for 5 Devices with Auto Renewal - Includes VPN, PC Cloud Backup & Dark Web Monitor",$31.65,4.2,4433,61,US
"[Old Version] Intuit TurboTax Deluxe 2021, Federal and State Tax Return [PC Download]",$59.99,4.5,14155,62,US
Bitdefender Total Security 2025 – Complete Antivirus and Internet Security Suite – 5 Devices | 2 year Subscription | PC/Mac |,$74.99,4.4,3578,63,US
"[Old Version] TurboTax Deluxe 2023, Federal Tax Return [PC/Mac Download]",$59.99,4.3,1838,64,US
"[Old Version] TurboTax Home & Business 2022 Tax Software, Federal and State Tax Return, [Amazon Exclusive] [PC/MAC Download]",$119.99,4.4,3477,65,US
NordVPN Basic – 1-Year – Premium VPN Protection For Up to 10 Devices – Secure Your Traffic Data & Shield Your IP – PC/Mac/Mob,$34.99,3.9,580,66,US
Webroot Internet Security Complete | Antivirus Software 2025 | 5 Device | 1 Year Download for PC/Mac/Chromebook/Android/IOS +,$36.88,4.2,1838,67,US
Corel Easy CD & DVD Burning 2 | Disc Burner & Video Capture [PC Disc],$14.99,3.9,1966,68,US
H&R Block Tax Software Deluxe + State 2022 with Refund Bonus Offer (Amazon Exclusive) [PC Download] (Old Version),$44.99,4.3,3934,69,US
Webroot Antivirus Software 2025 | 3 Device | 2 Year Download for PC/Mac,$39.99,4.4,957,70,US
QUICKEN CLASSIC BUSINESS & PERSONAL FOR NEW SUBSCRIBERS| 1 Year [PC/Mac Online code],$78.00,3.3,40,71,US
Bitdefender Total Security 2025 – Complete Antivirus and Internet Security Suite – 5 Devices | 1 Year Subscription | PC/Mac |,$44.99,4.4,3578,72,US
"Quick Books Desktop Pro 2024 | 3 User's | NO DVD | Lifetime Version | Amazon Message Delivery(Within 24hrs) | Only PC, Not fo",,5,2,73,US
"Tech-Shop-pro install Key Included USB For Windows 11 Home Version 32/64 bit. Recover, Restore, Repair Boot USB, and Install ",$58.00,4,84,74,US
"Malwarebytes Premium | 1 Year, 5 Device | Windows, Mac OS, Android, Apple iOS, Chrome [Online Code]",$39.99,4.5,1139,75,US
Quicken Classic Premier for New Subscribers| 1 Year [PC/Mac Online Code],$57.59,3.4,58,76,US
"[Old Version] TurboTax Deluxe 2023, Federal & State Tax Return [PC/Mac Disc]",$39.99,4.4,15762,77,US
"Ralix Windows Emergency Boot Disk - For Windows 98, 2000, XP, Vista, 7, 10 PC Repair DVD All in One Tool (Latest Version)",$11.99,3.4,2414,78,US
Sony Movie Studio 13- 30 Day Free Trial [Download],$0.01,3.3,96,79,US
Rosetta Stone Learn UNLIMITED Languages | Lifetime Access - Learn 24 Languages | PC/Mac/iOS/Android Online Code,$189.00,4.1,1516,80,US
"Roxio Easy VHS to DVD 3 Plus | VHS, Hi8, V8 Video to DVD or Digital Converter | Amazon Exclusive 2 Bonus DVDs [Windows Disc]",$48.58,3.8,3719,81,US
"Corel WordPerfect Office Home & Student 2021 | Office Suite of Word Processor, Spreadsheets & Presentation Software [PC Disc]",$49.99,4.2,1130,82,US
"Tech-Shop-pro Reinstall USB with key For Windows 11 Pro Version 32/64 bit. Recover, Restore, Repair Boot Disc, and Install to",$58.00,3.5,67,83,US
"TrulyOffice 2024 Family Lifetime License for Windows | 4 in 1 All Access TrulyOffice Suite | Words, Sheets, Slides, and Cloud",$69.99,3.7,85,84,US
"TurboTax Deluxe 2024 Tax Software, Federal & State [PC/MAC Download] & McAfee Total Protection 5 Devices",$70.98,,,85,US
"Office Suite Newest 2025 on DVD Great Alternative to MS Office - for School, Home, or Business - compatible with Word, Excel,",$15.99,4.3,20,86,US
"DVD For Password Reset Disk Supports Windows 10,11, 8, 7, Vista, XP",$13.99,2.9,98,87,US
"Malwarebytes Premium Software | Amazon Exclusive | 18 Months, 2 Devices (Windows, Mac OS, Android, Apple iOS, Chrome) [softwa",$29.99,4.4,937,88,US
Bitdefender Total Security - 10 Devices | 2 year Subscription | PC/MAC |Activation Code by email,$84.99,4.4,396,89,US
"Microsoft Office Home 2024 | One time purchase, 1 Device | Windows 10/11, Mac - Key Card",$149.99,3.8,22,90,US
"Corel WordPerfect Office Home & Student 2021 | Office Suite of Word Processor, Spreadsheets & Presentation Software [PC Downl",$49.99,4.2,1130,91,US
"Norton AntiVirus Plus 2025, Antivirus software for 1 Device with Auto-Renewal – Includes Advanced AI Scam Protection, Passwor",$19.99,3.7,3047,92,US
Office Suite 2025 on CD DVD Disc | Compatible with Microsoft Office 2024 2021 365 2019 2016 2013 2010 2007 Word Excel PowerPo,$19.99,3.9,2416,93,US
"[Old Version] TurboTax Basic 2023, Federal Tax Return [PC/Mac Download]",$39.99,4.1,358,94,US
Office Suite 2025 on USB | Compatible with Microsoft Office 2021 2019 365 Word Excel PowerPoint |Lifetime License & Free Upda,$19.99,3.8,192,95,US
"Office Suite 2025 Home & Student Premium | Open Word Processor, Spreadsheet, Presentation, Accounting, and Professional Softw",$19.99,3.9,553,96,US
Tech-Shop-pro Compatible Key OEM Windo 10 profesional 32/64 Bit USB Installation media onilne activatiation Key C. Install To,$58.00,4.1,45,97,US
